name,country,gstin,pan,state_code,state_name,currency,payment_terms,address_line1,address_line2,city,pincode,email,phone,notes,contacts
Adarniya P.D Patil Sahakari Bank,India,27AAAJS0147E2ZC,AAAJS0147E,27,Maharashtra,INR,Net 30,"15/3 C, MANGALWAR PETH TILAK ROAD, KARAD Satara, MAHARASHTRA, 415110",,,,ceo@pdpbank.com,,,"[{""name"":""RAJESH MANE"",""role"":""DGM EDP DEPARTMENT"",""email"":""edp@pdp.bank.in"",""phone"":""Phone No. (02164) 226187/Mobile No. 9730919555""}]"
BRIHANMUMBAI MAHANAGARPALIKA PENSIONERS ASSOCIATION,India,27AAALM0042L3Z4,AAALM0042L,27,Maharashtra,INR,Net 30,"G/Uttar Mahanagar palika karyalay imarat,block no 9, ground floor Harishchandra Yeole Marg, Plaza cinema Dadar, Mumbai Mumbai, MAHARASHTRA, 400028",,,,,,,[]
BRISK TECHNOVISION LIMITED,India,27AADCB1106C1ZH,AADCB1106C,,,INR,Net 30,"5th Floor, Unit No.506, A Wing Centrum Business Square IT Park, Road Number 16, Plot No. D-1, Wagle Estate, Thane Central, MAHARASHTRA, 400604",,,,babu@brisk-india.com,9819553824,,[]
DEOGIRI NAGARI SAHAKARI BANK LTD,India,27AAAAD0527A2ZI,AAAAD0527A,27,Maharashtra,INR,Net 30,"226-229, GROUND FLOOR, ARTH COMPLEX KESARSINGPURA, ADALAT ROAD, AURANGABAD Chhatrapati Sambhaji Nagar, MAHARASHTRA, 431001",,Chhatrapati Sambhaji Nagar,431001,anilsutavne@deogiribank.com,9403080740,,[]
GP PARSIK SAHAKARI BANK LIMITED,India,27AAAAP0267H2ZN,AAAAP0267H,27,Maharashtra,INR,Net 30,"GP Parsik Sahakari Bank, Second Floor, Sahkarmurti Gopinath Shivram Patil Bhavan MBT Road, Thane Thane, MAHARASHTRA, 400605",,THANE,400605,kusonawane510@gpparsikbank.net,,,"[{""name"":""Ravindra S Padhar"",""role"":""Manager - IT"",""email"":""rspathar514@gpparsikbank.net"",""phone"":""022-25456524/022-25456637/ 022-313036524""}]"
JANATA SAHAKARI BANK LTD,India,27AAAJJ0073G1ZH,AAAJJ0073G,27,Maharashtra,INR,Net 30,"Sr. No 691A/1A/2A/, Pune- Satara Road, Near Rao Nursing Home, Bibwewadi, Pune City East, MAHARASHTRA, 411037",,PUNE,411037,vidyadhar.chapekanwade@jsblpune.bank.in,9511910645,,"[{""name"":""OMKAR JADHAV"",""role"":""Data Centre - General Administration"",""email"":""dcadmin@jsblpune.bank.in"",""phone"":""020-24404504""}]"
KALLAPPANNA AWADE ICHALKARANJI JANATA SAH. BANK LTD,India,27AAAAI0111M1Z1,AAAAI0111M,27,Maharashtra,INR,Net 30,"WARD NO.12, MAIN ROAD, H.NO.1 JANATA BANK BHUVAN, ICHALKARANJI Kolhapur, MAHARASHTRA, 416115",,Kolhapur,416115,srterdale@ijsbank.com,9850550948,,[]
KOLHAPUR MAHILA SAHAKARI BANK LIMITED,India,27AAAAK0367R2Z6,AAAAK0367R,27,Maharashtra,INR,Net 30,"1082 KH, MAHILA SEVA MANDAL SANUKUL TUTUCHI BAG OPP. KHASBAG, B WARD MANGALWAR PETH Kolhapur, MAHARASHTRA, 416012",,,,ho@kopmahilabank.com,,,"[{""name"":""Harish Kashid"",""role"":""Senior Officer IT Department"",""email"":""harish.kashid@kopmahila.bank.in "",""phone"":""9011072121""}]"
NAV JEEVAN CO OPERATIVE BANK LIMITED,India,27AAAAT9826C1ZF,AAAAT9826C,27,Maharashtra,INR,Net 30,"BHAWANI SAW MILLS COMPOUND, FURNITURE BAZAR,CENTRAL HOSPITAL ROAD, ULHASNAGAR Thane, MAHARASHTRA, 421003",,,,edp@njcb.in,,,"[{""name"":""Sandeep Oak"",""role"":""Asst. Manager - IT"",""email"":""sandeep.oak@njcb.in"",""phone"":""Phone: 0251-2572117""}]"
RAJASHRI SHAHU SAHAKARI BANK LTD,India,27AAAAR0258E1ZT,AAAAR0258E,27,Maharashtra,INR,Net 30,"597, SHAHU COMPLEX SHIVAJI ROAD, 597 SHUKRAWAR PETH Pune, MAHARASHTRA, 411002",,,,edp@shahubankpune.co.in,,,"[{""name"":""Naresh Deshmukh"",""role"":"""",""email"":""naresh.deshmukh@shahubankpune.bank.in"",""phone"":""9823384187""},{""name"":""Girish Gore"",""role"":"""",""email"":""girish.gore@shahubankpune.bank.in"",""phone"":""9822912443""}]"
